balik;bezelye;cilek;mango;biber;corek otu;hindi eti;sosis;margarin;kahve;;;;;
margarin;hayvansal sut;lahana;arpa;taze meyve suyu;kabak;mandalina;yulaf;visne;boza;pirinc;misir;;;
ananas;hindi eti;kusbasi et;mandalina;;;;;;;;;;;
kuru fasulye;kimyon;cavdar;seker;nar;sucuk;bitki cayi;serbet;armut;aci toz biber;kirmizi mercimek;ekmek;bogurtlen;ananas;
mayali alkoller;patlican;kiyma;yumurta;tarcin;;;;;;;;;;
serbet;bitki cayi;kahve;nar;mango;;;;;;;;;;
kuru fasulye;nane;sogan;ananas;kabak;domates;visne;kahve;mayasiz alkoller;yeni bahar;cavdar;sosis;tavuk eti;sarimsak;armut
kakule;cavdar;marul;kimyon;tarcin;patlican;kekik;yeni bahar;kori;bugday;maydanoz;;;;
yogurt;;;;;;;;;;;;;;
pirasa;hazir meyve suyu;elma;kahve;kabak;aci pul biber;mango;kivi;soguk cay;;;;;;
patlican;cilek;siyah cay;mayasiz alkoller;kekik;;;;;;;;;;
kiyma;avokado;tereyagi;nohut;nar;mandalina;boza;kajun;sarimsak;salam;;;;;
salatalik;bitki cayi;bogurtlen;bugday;pirasa;bezelye;kivi;sosis;;;;;;;
bulgur;kori;tarcin;hindi eti;salam;mango;kuru fasulye;portakal;avokado;badem sutu;biberiye;biber;yesil mercimek;boza;nane
badem sutu;sogan;margarin;sumak;balik;siyah cay;hayvansal sut;ekmek;cavdar;kirmizi mercimek;kori;;;;
marul;portakal;taze meyve suyu;sumak;vanilya;nane;arpa;ejder meyvesi;;;;;;;
yulaf;bulgur;hazir meyve suyu;kakule;kiraz;salam;pirasa;soguk cay;misir;balik;portakal;kahve;;;
kiyma;sosis;bezelye;bakla;cavdar;roka;ejder meyvesi;pirinc;kimyon;mayali alkoller;cilek;mandalina;yumurta;kusbasi et;margarin
balik;ispanak;vanilya;serbet;ayran;;;;;;;;;;
zerdecal;domates;;;;;;;;;;;;;
bogurtlen;kiraz;ejder meyvesi;mayali alkoller;ekmek;nohut;vanilya;;;;;;;;
badem sutu;portakal;lahana;kiraz;roka;kirmizi mercimek;ananas;kahve;kiyma;;;;;;
margarin;mayasiz alkoller;zerdecal;tavuk eti;sosis;aci pul biber;marul;taze meyve suyu;salatalik;kekik;mandalina;muz;nar;bulgur;tatli toz biber
aci pul biber;kajun;tuz;hayvansal sut;avokado;lahana;;;;;;;;;
bugday;zerdecal;tarcin;cavdar;avokado;margarin;kuru fasulye;mandalina;tavuk eti;badem sutu;bulgur;;;;
salatalik;serbet;aci toz biber;soguk cay;;;;;;;;;;;
sarimsak;sakatatlar;bugday;visne;ispanak;corek otu;;;;;;;;;
hayvansal sut;kusbasi et;sucuk;muz;mandalina;vanilya;bugday;badem sutu;peynir;;;;;;
kakule;yulaf sutu;bezelye;ispanak;tuz;biber;zerdecal;bogurtlen;marul;serbet;soguk cay;tereyagi;badem sutu;cilek;
pirinc;kimyon;kivi;tarcin;domates;ejder meyvesi;peynir;roka;kusbasi et;yumurta;yulaf sutu;;;;
yulaf sutu;avokado;badem sutu;;;;;;;;;;;;
sakatatlar;aci pul biber;sogan;corek otu;bugday;bezelye;vanilya;mandalina;patlican;maydanoz;kiraz;mayasiz alkoller;zerdecal;kusbasi et;
ispanak;yulaf;muz;vanilya;kori;serbet;bulgur;portakal;zerdecal;sakatatlar;mayali alkoller;bogurtlen;sosis;ananas;
armut;sumak;tereyagi;yeni bahar;serbet;bulgur;salam;mandalina;corek otu;;;;;;
bulgur;corek otu;tatli toz biber;vanilya;kakule;marul;mayali alkoller;ejder meyvesi;;;;;;;
karpuz;yogurt;tereyagi;bitki cayi;yumurta;peynir;elma;kajun;hazir meyve suyu;cavdar;ananas;misir;nane;kimyon;
ananas;salam;aci pul biber;muz;;;;;;;;;;;
tereyagi;soguk cay;bulgur;cavdar;portakal;ejder meyvesi;misir;mayali alkoller;badem sutu;;;;;;
hazir meyve suyu;bulgur;elma;peynir;sucuk;badem sutu;yumurta;portakal;;;;;;;
yulaf;maydanoz;pirinc;elma;nohut;yumurta;bulgur;corek otu;marul;margarin;tuz;tereyagi;;;
kahve;nohut;margarin;yogurt;hazir meyve suyu;pirinc;sucuk;ayran;zerdecal;;;;;;
boza;tatli toz biber;mayasiz alkoller;tavuk eti;kahve;roka;bitki cayi;ekmek;aci toz biber;;;;;;
karpuz;tuz;hazir meyve suyu;salatalik;;;;;;;;;;;
hazir meyve suyu;yesil mercimek;margarin;peynir;tavuk eti;siyah cay;hayvansal sut;serbet;taze meyve suyu;kahve;arpa;elma;karpuz;;
ejder meyvesi;corek otu;nar;kusbasi et;ekmek;roka;balik;aci toz biber;sakatatlar;kuru fasulye;tatli toz biber;;;;
bugday;armut;tuz;cavdar;;;;;;;;;;;
badem sutu;sumak;;;;;;;;;;;;;
elma;bogurtlen;hazir meyve suyu;corek otu;kori;;;;;;;;;;
karpuz;maydanoz;yeni bahar;tuz;serbet;salam;seker;;;;;;;;
vanilya;maydanoz;hindi eti;boza;mandalina;bitki cayi;sarimsak;sumak;mayasiz alkoller;ananas;peynir;yesil mercimek;biber;kiraz;yeni bahar
vanilya;kakule;taze meyve suyu;kori;aci pul biber;salam;yumurta;marul;badem sutu;yulaf;;;;;
maydanoz;avokado;corek otu;kabak;bezelye;;;;;;;;;;
biberiye;roka;;;;;;;;;;;;;
kajun;kabak;avokado;lahana;kori;aci toz biber;bitki cayi;bugday;domates;siyah cay;tarcin;maydanoz;salatalik;yesil mercimek;
yesil mercimek;nane;domates;ananas;kola-gazoz vb.;kimyon;biberiye;marul;kiyma;margarin;hindi eti;;;;
sucuk;yeni bahar;kajun;yogurt;zerdecal;marul;badem sutu;ejder meyvesi;balik;patlican;kahve;;;;
kabak;yeni bahar;avokado;yulaf sutu;mandalina;;;;;;;;;;
badem sutu;nane;;;;;;;;;;;;;
sarimsak;kuru fasulye;kola-gazoz vb.;pirasa;yesil mercimek;kirmizi mercimek;ekmek;sogan;boza;mayasiz alkoller;;;;;
kuru fasulye;zerdecal;kori;margarin;tereyagi;sosis;yulaf;lahana;hayvansal sut;ananas;kivi;kahve;maydanoz;hazir meyve suyu;
bugday;ekmek;aci toz biber;ananas;mayasiz alkoller;kusbasi et;corek otu;mayali alkoller;kuru fasulye;yeni bahar;;;;;
taze meyve suyu;kahve;peynir;cilek;sosis;bulgur;portakal;kola-gazoz vb.;roka;;;;;;
bitki cayi;mayali alkoller;misir;marul;mandalina;kimyon;sosis;margarin;yeni bahar;pirasa;pirinc;kajun;biberiye;tereyagi;
taze meyve suyu;yesil mercimek;tatli toz biber;kimyon;armut;;;;;;;;;;
ananas;mandalina;siyah cay;elma;kahve;sogan;;;;;;;;;
kori;kivi;yeni bahar;mayasiz alkoller;mango;pirinc;kirmizi mercimek;ejder meyvesi;sakatatlar;roka;arpa;kusbasi et;kiyma;balik;salatalik
kekik;tatli toz biber;pirasa;;;;;;;;;;;;
roka;karpuz;;;;;;;;;;;;;
roka;bulgur;siyah cay;yumurta;sumak;;;;;;;;;;
bogurtlen;domates;aci pul biber;tarcin;avokado;hayvansal sut;armut;taze meyve suyu;bezelye;siyah cay;kirmizi mercimek;;;;
visne;sucuk;tuz;yogurt;sogan;yesil mercimek;serbet;kimyon;bugday;;;;;;
serbet;tatli toz biber;;;;;;;;;;;;;
arpa;kivi;aci toz biber;biber;;;;;;;;;;;
domates;siyah cay;seker;biberiye;taze meyve suyu;;;;;;;;;;
yumurta;peynir;kabak;salatalik;sumak;cavdar;kimyon;;;;;;;;
mayasiz alkoller;kahve;cilek;kajun;arpa;margarin;karpuz;bugday;bogurtlen;mandalina;bitki cayi;;;;
ayran;balik;kusbasi et;mayali alkoller;ejder meyvesi;sakatatlar;misir;badem sutu;;;;;;;
kabak;badem sutu;bakla;maydanoz;bulgur;pirinc;;;;;;;;;
mayasiz alkoller;portakal;nar;cilek;hindi eti;lahana;kakule;tatli toz biber;nohut;soguk cay;;;;;
lahana;;;;;;;;;;;;;;
bogurtlen;ekmek;kajun;kimyon;;;;;;;;;;;
kirmizi mercimek;;;;;;;;;;;;;;
ispanak;armut;mayali alkoller;taze meyve suyu;yulaf;bugday;;;;;;;;;
elma;kakule;cavdar;mango;kori;patlican;;;;;;;;;
hindi eti;domates;yumurta;;;;;;;;;;;;
arpa;yulaf;kabak;pirasa;vanilya;kivi;yulaf sutu;kiraz;biber;mango;balik;;;;
kekik;;;;;;;;;;;;;;
tereyagi;muz;bakla;sumak;hindi eti;yeni bahar;cilek;boza;domates;yesil mercimek;kuru fasulye;;;;
tatli toz biber;peynir;kiyma;serbet;margarin;domates;salatalik;;;;;;;;
yumurta;misir;kimyon;nar;pirasa;marul;hazir meyve suyu;kirmizi mercimek;;;;;;;
aci toz biber;nane;tavuk eti;pirinc;bakla;tuz;aci pul biber;vanilya;tatli toz biber;cilek;tereyagi;yeni bahar;;;
kirmizi mercimek;pirasa;roka;yogurt;misir;karpuz;kiyma;kuru fasulye;kimyon;margarin;;;;;
bugday;;;;;;;;;;;;;;
hindi eti;cavdar;tereyagi;peynir;bakla;kekik;kajun;serbet;ayran;;;;;;
hindi eti;serbet;corek otu;bezelye;elma;ananas;hazir meyve suyu;roka;lahana;;;;;;
maydanoz;hindi eti;misir;hazir meyve suyu;badem sutu;nane;seker;sarimsak;sumak;bugday;sosis;kirmizi mercimek;biberiye;soguk cay;kola-gazoz vb.
aci toz biber;;;;;;;;;;;;;;
kivi;pirinc;ananas;kabak;yumurta;kirmizi mercimek;peynir;tatli toz biber;sogan;bezelye;zerdecal;;;;
kirmizi mercimek;sumak;maydanoz;mayasiz alkoller;sosis;;;;;;;;;;
pirasa;;;;;;;;;;;;;;
yulaf sutu;;;;;;;;;;;;;;
lahana;zerdecal;karpuz;kola-gazoz vb.;sogan;aci pul biber;maydanoz;yulaf sutu;visne;sumak;bezelye;yumurta;biber;;
aci toz biber;tereyagi;kakule;kola-gazoz vb.;portakal;ejder meyvesi;kori;zerdecal;hayvansal sut;mayasiz alkoller;;;;;
siyah cay;hazir meyve suyu;kajun;vanilya;aci toz biber;pirasa;sogan;peynir;tuz;yulaf;kiyma;mayali alkoller;kivi;seker;kirmizi mercimek
yumurta;cilek;nohut;kimyon;pirinc;pirasa;serbet;sakatatlar;bitki cayi;sucuk;boza;ananas;soguk cay;sosis;
yulaf;hindi eti;hazir meyve suyu;bitki cayi;misir;;;;;;;;;;
visne;elma;sogan;ejder meyvesi;kakule;tereyagi;ispanak;peynir;kekik;nohut;aci toz biber;kivi;kirmizi mercimek;mayasiz alkoller;tavuk eti
maydanoz;ekmek;marul;tuz;karpuz;badem sutu;taze meyve suyu;kekik;kola-gazoz vb.;sakatatlar;yulaf;;;;
ekmek;avokado;ayran;;;;;;;;;;;;
cavdar;margarin;tavuk eti;peynir;muz;sogan;salam;sumak;;;;;;;
elma;karpuz;siyah cay;kabak;yulaf sutu;;;;;;;;;;
kola-gazoz vb.;cilek;margarin;arpa;kekik;;;;;;;;;;
hayvansal sut;yeni bahar;armut;peynir;kirmizi mercimek;yogurt;sosis;misir;marul;bakla;lahana;ekmek;roka;yesil mercimek;
ekmek;bakla;badem sutu;;;;;;;;;;;;
aci toz biber;yesil mercimek;badem sutu;yulaf;;;;;;;;;;;
salatalik;corek otu;hazir meyve suyu;hayvansal sut;salam;sogan;roka;nar;margarin;marul;aci toz biber;tereyagi;cilek;armut;mayali alkoller
ekmek;elma;sogan;yulaf sutu;kola-gazoz vb.;sucuk;arpa;hayvansal sut;taze meyve suyu;roka;yumurta;margarin;bakla;pirinc;vanilya
bitki cayi;yogurt;mandalina;;;;;;;;;;;;
sucuk;nane;kuru fasulye;hayvansal sut;ananas;;;;;;;;;;
tavuk eti;ispanak;margarin;avokado;yumurta;ejder meyvesi;sucuk;zerdecal;;;;;;;
ispanak;kola-gazoz vb.;bulgur;armut;nohut;aci pul biber;bezelye;kirmizi mercimek;;;;;;;
yumurta;;;;;;;;;;;;;;
biberiye;nane;;;;;;;;;;;;;
bugday;bezelye;mayasiz alkoller;arpa;sucuk;nane;;;;;;;;;
nohut;yulaf;armut;sakatatlar;kirmizi mercimek;hazir meyve suyu;kori;kakule;vanilya;maydanoz;ayran;margarin;kusbasi et;visne;biber
yeni bahar;hayvansal sut;mandalina;patlican;hazir meyve suyu;mango;badem sutu;bezelye;avokado;kirmizi mercimek;tarcin;kivi;;;
biberiye;tavuk eti;sakatatlar;nohut;hindi eti;pirasa;yumurta;portakal;sosis;hayvansal sut;;;;;
boza;sumak;taze meyve suyu;aci pul biber;bitki cayi;balik;tereyagi;yogurt;seker;vanilya;;;;;
yeni bahar;mayali alkoller;vanilya;ejder meyvesi;patlican;tarcin;peynir;salatalik;;;;;;;
ejder meyvesi;marul;bezelye;kahve;margarin;bugday;yeni bahar;;;;;;;;
kakule;kajun;kusbasi et;mango;sarimsak;tereyagi;;;;;;;;;
peynir;;;;;;;;;;;;;;
kekik;;;;;;;;;;;;;;
yulaf sutu;domates;aci toz biber;karpuz;mango;yesil mercimek;hindi eti;ispanak;aci pul biber;sakatatlar;marul;pirinc;bugday;;
kabak;cilek;nane;siyah cay;;;;;;;;;;;
misir;bugday;kajun;corek otu;;;;;;;;;;;
balik;bezelye;bitki cayi;tereyagi;sumak;seker;ekmek;vanilya;arpa;;;;;;
serbet;siyah cay;;;;;;;;;;;;;
ispanak;portakal;;;;;;;;;;;;;
kori;elma;hindi eti;kuru fasulye;marul;biber;sogan;kabak;sarimsak;vanilya;;;;;
nohut;mayasiz alkoller;yulaf;kiyma;armut;kakule;bulgur;cavdar;seker;karpuz;;;;;
ananas;ayran;sarimsak;kekik;;;;;;;;;;;
salam;lahana;;;;;;;;;;;;;
tatli toz biber;avokado;visne;sucuk;yulaf sutu;yogurt;;;;;;;;;
mandalina;cilek;domates;sumak;visne;biberiye;kusbasi et;kakule;corek otu;tatli toz biber;ispanak;lahana;kajun;yogurt;
portakal;visne;armut;yogurt;kimyon;tuz;seker;kahve;kajun;kiraz;maydanoz;;;;
kiraz;;;;;;;;;;;;;;
salam;serbet;;;;;;;;;;;;;
taze meyve suyu;cavdar;kajun;;;;;;;;;;;;
mango;kekik;pirasa;soguk cay;;;;;;;;;;;
aci toz biber;maydanoz;kuru fasulye;salam;yeni bahar;ispanak;serbet;sakatatlar;;;;;;;
bulgur;kirmizi mercimek;tatli toz biber;yesil mercimek;salam;sucuk;;;;;;;;;
mandalina;tuz;mayali alkoller;bogurtlen;hindi eti;nane;nar;;;;;;;;
kajun;patlican;kekik;karpuz;sarimsak;kiyma;serbet;tavuk eti;ayran;salatalik;;;;;
sumak;bugday;kimyon;serbet;armut;nohut;;;;;;;;;
roka;corek otu;bitki cayi;avokado;sosis;mayali alkoller;pirinc;visne;muz;ejder meyvesi;nar;kusbasi et;elma;;
yumurta;yogurt;arpa;;;;;;;;;;;;
salam;zerdecal;sarimsak;sosis;lahana;siyah cay;sumak;aci pul biber;misir;domates;roka;mandalina;yeni bahar;;
pirinc;hazir meyve suyu;salatalik;bezelye;tuz;bakla;serbet;sogan;bugday;kola-gazoz vb.;;;;;
yumurta;kuru fasulye;nane;ejder meyvesi;kiraz;roka;mayasiz alkoller;avokado;zerdecal;;;;;;
ananas;kirmizi mercimek;mayali alkoller;mandalina;sumak;;;;;;;;;;
salatalik;portakal;salam;yogurt;margarin;boza;soguk cay;;;;;;;;
kirmizi mercimek;pirinc;kiraz;kimyon;sarimsak;misir;kabak;bezelye;pirasa;boza;;;;;
sumak;misir;karpuz;kajun;roka;arpa;bulgur;cilek;kiyma;;;;;;
misir;corek otu;yeni bahar;kiyma;;;;;;;;;;;
kori;;;;;;;;;;;;;;
balik;ekmek;nar;mandalina;yesil mercimek;lahana;cavdar;portakal;misir;yogurt;kekik;arpa;biberiye;;
serbet;seker;tavuk eti;yogurt;mayasiz alkoller;ejder meyvesi;soguk cay;bitki cayi;kori;;;;;;
sucuk;kabak;bezelye;pirasa;yeni bahar;hayvansal sut;;;;;;;;;
bitki cayi;hazir meyve suyu;kiraz;tuz;kahve;balik;kusbasi et;siyah cay;taze meyve suyu;salam;yeni bahar;soguk cay;;;
biber;ananas;margarin;patlican;zerdecal;;;;;;;;;;
sosis;cavdar;salam;hayvansal sut;zerdecal;muz;balik;kakule;elma;bulgur;tuz;kimyon;kuru fasulye;;
cavdar;peynir;ayran;armut;;;;;;;;;;;
nane;bezelye;lahana;tuz;;;;;;;;;;;
peynir;badem sutu;lahana;tarcin;;;;;;;;;;;
maydanoz;mango;pirinc;biber;soguk cay;avokado;yumurta;badem sutu;karpuz;kivi;sogan;kiyma;;;
roka;kiraz;kusbasi et;kori;taze meyve suyu;elma;;;;;;;;;
mandalina;bakla;kola-gazoz vb.;ejder meyvesi;;;;;;;;;;;
yulaf;salatalik;misir;;;;;;;;;;;;
hayvansal sut;maydanoz;mayasiz alkoller;visne;kusbasi et;bitki cayi;arpa;biber;;;;;;;
ejder meyvesi;tatli toz biber;bogurtlen;misir;pirasa;hayvansal sut;seker;tereyagi;mayali alkoller;badem sutu;kabak;;;;
hindi eti;misir;siyah cay;;;;;;;;;;;;
mayali alkoller;kori;bulgur;lahana;armut;visne;aci toz biber;kekik;kiyma;kiraz;salatalik;kakule;;;
tarcin;aci toz biber;maydanoz;kabak;portakal;kivi;patlican;mayali alkoller;elma;mandalina;;;;;
domates;peynir;kuru fasulye;;;;;;;;;;;;
kola-gazoz vb.;cavdar;ejder meyvesi;aci toz biber;boza;mandalina;nar;yulaf sutu;tatli toz biber;sogan;bugday;;;;
pirinc;nar;yulaf sutu;zerdecal;mayasiz alkoller;kajun;margarin;kimyon;bakla;;;;;;
tuz;mango;mayali alkoller;kakule;biberiye;serbet;;;;;;;;;
kimyon;kahve;bogurtlen;kirmizi mercimek;yesil mercimek;sarimsak;taze meyve suyu;boza;tavuk eti;margarin;kabak;bezelye;karpuz;yulaf sutu;mayali alkoller
mayasiz alkoller;tavuk eti;marul;yulaf;kekik;corek otu;soguk cay;roka;kirmizi mercimek;pirinc;patlican;pirasa;boza;yulaf sutu;ekmek
ispanak;;;;;;;;;;;;;;
corek otu;kusbasi et;sogan;bugday;;;;;;;;;;;
kori;maydanoz;aci pul biber;balik;peynir;yogurt;;;;;;;;;
hindi eti;yeni bahar;badem sutu;domates;bitki cayi;kakule;bugday;maydanoz;cavdar;;;;;;
hayvansal sut;yumurta;tatli toz biber;tuz;ekmek;kiyma;aci toz biber;siyah cay;biberiye;corek otu;;;;;
salam;aci toz biber;sogan;sucuk;tatli toz biber;armut;bitki cayi;ekmek;tavuk eti;kabak;kiraz;badem sutu;biber;;
ekmek;bulgur;ejder meyvesi;nane;hayvansal sut;nar;boza;;;;;;;;
cilek;;;;;;;;;;;;;;
nar;kahve;kola-gazoz vb.;serbet;;;;;;;;;;;
mayali alkoller;sarimsak;nar;yesil mercimek;corek otu;sosis;kekik;soguk cay;;;;;;;
margarin;mandalina;marul;cilek;sumak;kusbasi et;hindi eti;yeni bahar;biberiye;nane;kuru fasulye;hayvansal sut;yumurta;mayali alkoller;ayran
sumak;ispanak;kakule;pirinc;marul;kuru fasulye;hindi eti;biberiye;ayran;;;;;;
boza;portakal;bakla;kimyon;seker;mandalina;sumak;kahve;pirasa;kiyma;hindi eti;;;;
sakatatlar;yumurta;cilek;pirasa;tereyagi;;;;;;;;;;
roka;kimyon;sogan;mayasiz alkoller;tarcin;;;;;;;;;;
salatalik;;;;;;;;;;;;;;
bulgur;kola-gazoz vb.;pirasa;badem sutu;bogurtlen;sumak;kiraz;bitki cayi;hazir meyve suyu;arpa;visne;;;;
nar;kabak;aci pul biber;domates;cavdar;ejder meyvesi;tatli toz biber;kori;biber;sarimsak;kajun;sakatatlar;;;
armut;mandalina;avokado;portakal;sarimsak;aci toz biber;;;;;;;;;
nar;sarimsak;serbet;nane;kusbasi et;;;;;;;;;;
yulaf sutu;ekmek;bitki cayi;mango;avokado;yumurta;badem sutu;;;;;;;;
visne;yesil mercimek;kakule;nane;tuz;maydanoz;sumak;taze meyve suyu;kirmizi mercimek;roka;boza;kekik;nar;;
sarimsak;ananas;nohut;bakla;kekik;sucuk;balik;sogan;mayasiz alkoller;tarcin;;;;;
misir;pirinc;nohut;corek otu;boza;lahana;biberiye;biber;aci toz biber;peynir;nar;yulaf sutu;taze meyve suyu;;
hayvansal sut;mandalina;badem sutu;ayran;mayasiz alkoller;hazir meyve suyu;boza;kuru fasulye;cavdar;;;;;;
ejder meyvesi;kirmizi mercimek;cilek;karpuz;yesil mercimek;nane;aci pul biber;mayali alkoller;boza;;;;;;
hayvansal sut;bulgur;siyah cay;;;;;;;;;;;;
patlican;ananas;sumak;aci toz biber;margarin;cavdar;avokado;kiyma;tereyagi;;;;;;
lahana;sucuk;domates;bugday;vanilya;kola-gazoz vb.;;;;;;;;;
sucuk;yulaf sutu;yulaf;biberiye;kajun;bogurtlen;kahve;portakal;bulgur;roka;kusbasi et;ekmek;kimyon;;
salatalik;kajun;yulaf sutu;soguk cay;hayvansal sut;ejder meyvesi;bulgur;kirmizi mercimek;biber;tuz;yesil mercimek;;;;
elma;sogan;visne;biberiye;hayvansal sut;corek otu;tuz;serbet;yumurta;;;;;;
zerdecal;bogurtlen;sogan;yulaf sutu;siyah cay;arpa;armut;vanilya;kuru fasulye;kusbasi et;bugday;cilek;;;
cilek;balik;mayasiz alkoller;kakule;muz;;;;;;;;;;
pirasa;taze meyve suyu;aci toz biber;hayvansal sut;maydanoz;bitki cayi;mango;;;;;;;;
seker;;;;;;;;;;;;;;
biberiye;seker;hindi eti;sarimsak;yulaf sutu;;;;;;;;;;
kusbasi et;hazir meyve suyu;roka;visne;armut;pirinc;yumurta;tavuk eti;;;;;;;
bulgur;biber;sosis;kusbasi et;kimyon;marul;cilek;seker;;;;;;;
bezelye;pirinc;bitki cayi;tarcin;soguk cay;yulaf sutu;sosis;kiyma;hazir meyve suyu;bulgur;biber;;;;
taze meyve suyu;kimyon;kakule;bogurtlen;mandalina;muz;yulaf sutu;balik;bulgur;kabak;nar;vanilya;seker;;
serbet;salam;kimyon;ejder meyvesi;kiyma;kiraz;biber;yesil mercimek;yulaf;bitki cayi;soguk cay;elma;;;
misir;boza;mayasiz alkoller;aci pul biber;serbet;yeni bahar;zerdecal;nane;yesil mercimek;;;;;;
marul;seker;;;;;;;;;;;;;
boza;yumurta;sumak;ayran;patlican;aci pul biber;kabak;kahve;serbet;karpuz;biber;;;;
corek otu;kirmizi mercimek;bugday;avokado;kajun;muz;bezelye;kivi;arpa;kekik;biber;;;;
nar;tatli toz biber;ayran;peynir;ekmek;mandalina;portakal;sarimsak;bogurtlen;biberiye;;;;;
visne;tavuk eti;soguk cay;sarimsak;kabak;tarcin;yeni bahar;cilek;kirmizi mercimek;hindi eti;kahve;ispanak;;;
tarcin;serbet;hindi eti;nane;;;;;;;;;;;
mandalina;;;;;;;;;;;;;;
portakal;balik;bitki cayi;vanilya;elma;kimyon;kabak;kola-gazoz vb.;yulaf sutu;kusbasi et;kuru fasulye;nar;;;
peynir;;;;;;;;;;;;;;
taze meyve suyu;visne;ejder meyvesi;;;;;;;;;;;;
sogan;margarin;hayvansal sut;kimyon;sumak;badem sutu;sakatatlar;bugday;kusbasi et;roka;tereyagi;;;;
hayvansal sut;patlican;lahana;kusbasi et;ayran;serbet;yesil mercimek;elma;siyah cay;bugday;sosis;ekmek;avokado;;
nar;misir;kekik;hindi eti;yeni bahar;yulaf;salam;lahana;kahve;tereyagi;bogurtlen;tatli toz biber;seker;hayvansal sut;
arpa;bakla;tatli toz biber;nohut;visne;aci pul biber;yogurt;;;;;;;;
hayvansal sut;bulgur;yulaf;hazir meyve suyu;aci toz biber;mayasiz alkoller;domates;bugday;corek otu;marul;vanilya;;;;
misir;hayvansal sut;elma;tereyagi;kirmizi mercimek;aci pul biber;patlican;mandalina;tarcin;yulaf;kuru fasulye;;;;
mango;nar;;;;;;;;;;;;;
